rule_id,title_pattern,source,source_url,verified_date,currently_approved,me3_copilot_suggestion,me5_copilot_suggestion,me7_suggestion,rationale,business_decision,reviewer,review_date,review_comments
onedrive-family,OneDrive,heuristic_unverified,,,false,retain,retain,retain,OneDrive storage and plan variants require capacity review; retain is suggested.,,,,
viva-family,Viva,heuristic_unverified,,,false,retain,retain,retain,Viva modules have separate entitlement boundaries; retain is suggested until reviewed.,,,,
windows-365-family,Windows 365,heuristic_unverified,,,false,retain,retain,retain,Windows 365 cloud-PC configurations are separate capacity SKUs; retain is suggested.,,,,
windows-11-family,Windows 11,microsoft_official,https://learn.microsoft.com/en-us/microsoft-365/copilot/microsoft-365-copilot-license-feature-overview,2026-08-04,false,included,included,included,Windows 11 Enterprise licensing rights are included at all three Microsoft 365 Enterprise tiers.,,,,
sql-family,SQL,heuristic_unverified,,,false,retain,retain,retain,SQL products are separate server or Azure workloads; retain is suggested.,,,,
universal-print-family,Universal Print,heuristic_unverified,,,false,retain,retain,retain,Universal Print capacity and user products require usage review; retain is suggested.,,,,
power-pages-family,Power Pages,heuristic_unverified,,,false,retain,retain,retain,Power Pages capacity packs are independently metered; retain is suggested.,,,,
purview-family,Microsoft Purview,heuristic_unverified,,,false,retain,retain,retain,Purview products span compliance capabilities; retain is suggested until feature overlap is reviewed.,,,,
clipchamp-family,Clipchamp,heuristic_unverified,,,false,retain,retain,retain,Clipchamp variants are separate application licences; retain is suggested.,,,,
planner-family,Planner,heuristic_unverified,,,false,retain,retain,retain,Planner variants may include premium project capabilities; retain is suggested pending review.,,,,
advanced-data-residency,Advanced Data Residency,heuristic_unverified,,,false,retain,retain,retain,Advanced Data Residency is an add-on capability visible in the workbook; retain is suggested pending residency-requirement review.,,,,
